"year","month","calamar_anomaly","bolivar_anomaly","manaos_anomaly","obidos_anomaly","tabatinga_anomaly","timbues_anomaly"
1996,8,1.81342714447252,,-0.42493786757936153,0.0069833901860649385,-0.016535740423621773,-0.25084951313225934
1996,7,1.4624372058830277,,-0.11237568447290433,0.16697221932510234,-1.2757751543728504,-0.24555094346765172
1996,6,0.609356322629133,,0.016584459015747538,0.4375424306782841,-0.11478483528423981,-0.00772533332135637
1996,5,0.21597563041644222,,0.022366340831168383,0.6193419146969703,0.01610623400962981,0.5937824986949225
1996,4,1.2626727796688728,,0.1752883593396967,0.7381032322872778,-0.4451939259243142,0.44229797758254036
1996,3,1.2367226223369943,,0.27019429390773114,0.3757327142550079,-0.014619094289935883,0.20079869521808857
1996,2,0.2976987396867073,,-0.006780610257885091,-0.0722832819589809,-0.15933436269573384,-0.12650001903390193
1996,1,-0.08066085833938857,,-0.05892049850409918,-0.13869348896915543,-0.23353452178521653,-0.5646149589382057
1995,12,-0.24124510920745984,,-0.005126262301753324,-0.22650417039961884,-0.3989705825676944,-0.15011041159767616
1995,11,0.05472055389697427,,-1.0538127114716047,-1.2600234831124346,-0.4143725925801345,0.4294190815444678
1995,10,0.2904236928158554,,-1.6741318711092092,-1.6918404693485427,-1.2493630096888002,0.3501757808082913
1995,9,0.9133762287957624,,-1.8007536289584336,-1.633388933041969,-1.3726098481178757,0.15870858093688722
1995,8,0.7006310852162791,,-1.0404067368207208,-0.9511757544934039,-1.1778392519074892,0.2890083552150973
1995,7,-0.12628184120347186,,-0.8237867862983823,-0.7857384625860412,-0.7919249160790319,0.14027816661667666
1995,6,-0.5602928320857659,,-0.8495019158124812,-0.678177579156539,-1.0307884482414424,0.37447249906067337
1995,5,-0.7425785721515668,,-0.9017923452751453,-0.9102840758763087,-1.635339084795909,0.9661685958667259
1995,4,-0.9839583009565093,,-1.1350322890763598,-1.3714517522524692,-1.1028136588203838,1.6058580816724184
1995,3,-1.0887343273100518,,-1.4466037106191472,-1.213132292462191,-1.2396327825350941,1.722679842096562
1995,2,-1.243797569380472,,-0.6245670024133096,-0.6824057518387139,-0.9025760833713476,1.0313234793899333
1995,1,-0.7733877759743816,,0.5574229168740397,0.13584651792452143,-0.3017073826162033,0.1256349846258192
1994,12,0.017949176549269447,,1.7578596618904072,0.16181938098232945,0.5565553797451935,0.5433782309865598
1994,11,-0.1917209418713195,,1.7133058869602824,0.6937886561451111,0.08110660458882453,0.40325219045315175
