"year","month","calamar_monthly","bolivar_monthly","manaos_monthly","obidos_monthly","tabatinga_monthly","timbues_monthly"
2019,12,,22317.74193548387,,133473.33333333334,,
2019,11,,34645.333333333336,,111573.33333333333,,
2019,10,,48297.41935483871,,119045.16129032258,,
2019,9,,69857.33333333333,,189366.66666666666,,
2019,8,,72203.2258064516,,236867.74193548388,,15578.267
2019,7,,57238.06451612903,154000.0,252503.2258064516,38429.333333333336,19488.74
2019,6,,36448.666666666664,158946.66666666666,249563.33333333334,44255.666666666664,21613.11867
2019,5,,17343.032258064515,156370.96774193548,241487.09677419355,50927.74193548387,20081.79129
2019,4,,5636.5,148553.33333333334,231680.0,54085.0,18289.26533
2019,3,,4846.0,139009.67741935485,222222.5806451613,52006.77419354839,18517.74839
2019,2,,6413.785714285715,129396.42857142857,199453.57142857142,48767.857142857145,22090.89143
2019,1,,8956.129032258064,116058.06451612903,173358.06451612903,42224.83870967742,21869.40065
2018,12,,20052.90322580645,93604.83870967742,133812.90322580645,40641.6129032258,21285.37516
2018,11,,36590.333333333336,63412.333333333336,88858.33333333333,30579.333333333332,19788.11667
2018,10,,63141.93548387097,58728.333333333336,118071.6129032258,20441.85185185185,16136.01452
2018,9,,85328.66666666667,97618.0,180766.66666666666,19776.333333333332,13887.17633
2018,8,,87390.0,120480.64516129032,220551.61290322582,24944.83870967742,14196.47355
2018,7,,73294.83870967742,141258.06451612903,242445.16129032258,25718.064516129034,14743.63419
2018,6,,46594.0,142233.33333333334,243963.33333333334,44336.666666666664,16899.94167
2018,5,,27206.451612903227,134535.48387096773,234767.74193548388,47789.67741935484,20171.71903
2018,4,,6818.833333333333,123043.33333333333,212620.0,43528.0,20586.68867
2018,3,,4685.774193548387,118896.7741935484,195083.87096774194,37472.25806451613,20479.07161
2018,2,,7529.892857142857,113164.28571428571,174264.2857142857,39242.5,20666.60571
2018,1,,11023.548387096775,98095.16129032258,144890.32258064515,36494.51612903226,18422.36387
2017,12,,19367.0,84697.74193548386,116658.06451612903,34490.645161290326,18690.74484
2017,11,,37009.333333333336,72070.0,97572.0,31845.666666666668,18735.13567
2017,10,,46252.16129032258,58526.55172413793,90519.03225806452,23104.516129032258,16361.13161
2017,9,,64948.433333333334,62369.5,135967.0,18607.666666666668,15992.89033
2017,8,,78641.19354838709,109714.4,206770.96774193548,16807.09677419355,17679.46613
2017,7,,64167.967741935485,148741.93548387097,243532.25806451612,28796.774193548386,22470.29548
2017,6,,42144.46666666667,158570.0,248680.0,44136.666666666664,22825.218
2017,5,,26215.612903225807,156100.0,242493.5483870968,51870.32258064516,20644.01645
2017,4,,11225.633333333333,146565.5172413793,233346.66666666666,53080.333333333336,18145.90467
2017,3,,8125.677419354839,110824.75995252992,220883.87096774194,49588.709677419356,18530.47645
2017,2,,9469.285714285714,99894.11740558295,186157.14285714287,48559.166666666664,17770.84536
2017,1,,18667.451612903227,92010.14336917564,144600.0,41261.290322580644,19909.89516
2016,12,10249.107692307693,27638.709677419356,79541.56800189056,117368.82563778198,27966.129032258064,17288.61129
2016,11,8874.0,35863.666666666664,66696.6,94017.33333333333,21557.0,18090.11
2016,10,8594.45112414467,53097.096774193546,63903.177843003534,98832.58064516129,23906.129032258064,16852.977
2016,9,6478.75,71447.66666666667,81913.10344827586,150010.0,17874.0,17430.36367
2016,8,5539.1875,76666.45161290323,116154.16666666667,192922.5806451613,21817.74193548387,17696.81645
2016,7,5405.2,63920.967741935485,137774.1935483871,216054.83870967742,32055.0,20878.836
2016,6,5834.666666666667,43876.666666666664,145730.0,223686.66666666666,43297.5,21172.34917
2016,5,6155.0,26677.09677419355,140277.4193548387,216222.5806451613,47361.290322580644,23282.4771
2016,4,4055.85,6457.933333333333,126796.66666666667,188963.33333333334,51490.333333333336,25110.14533
2016,3,2671.25,3746.935483870968,105337.09677419355,148361.29032258064,46918.3870967742,24106.30484
2016,2,2428.0,4546.931034482759,83325.5172413793,123162.06896551725,34528.275862068964,25493.50931
2016,1,7004.967741935482,10282.677419354839,83802.58064516129,104638.70967741935,37555.16129032258,26014.40323
2015,12,4444.548387096775,19612.8064516129,67281.93548387097,83860.96774193548,31936.129032258064,21682.77452
2015,11,5802.566666666667,27338.333333333332,58466.333333333336,77585.0,24705.666666666668,18171.04077
2015,10,4343.5161290322585,38282.967741935485,64022.25806451613,118407.09677419355,22056.842105263157,16329.26806
2015,9,4394.366666666667,66608.33333333333,127840.0,204526.66666666666,21227.619047619046,18509.078
2015,8,4127.064516129032,66648.64516129032,156870.96774193548,244422.5806451613,31629.677419354837,21317.34129
2015,7,4341.1612903225805,52494.903225806454,169280.64516129033,250238.70967741936,45007.74193548387,18846.32452
2015,6,5904.266666666666,31857.533333333333,171830.0,246153.33333333334,58223.333333333336,17685.36133
2015,5,5097.225806451613,16204.677419354839,164416.12903225806,239641.93548387097,63305.8064516129,17021.15
2015,4,4877.3,7736.333333333333,151246.66666666666,232376.66666666666,59534.333333333336,17315.419
2015,3,3399.032258064516,6282.322580645161,136509.67741935485,210474.1935483871,53472.25806451613,19795.03226
2015,2,3989.6785714285716,8670.57142857143,121250.0,179417.85714285713,51099.28571428572,20100.635
2015,1,4581.967741935484,10861.161290322581,106093.2258064516,151964.51612903227,44699.354838709674,20322.29258
2014,12,8476.516129032258,23390.16129032258,94063.2258064516,133422.5806451613,37987.096774193546,18178.89
2014,11,8321.233333333334,40446.066666666666,82450.66666666667,119546.66666666667,29075.333333333332,18826.655
2014,10,7039.064516129032,51127.77419354839,83288.46153846153,142103.2258064516,26023.548387096773,19069.15
2014,9,5495.0,66889.96666666666,114943.0,201590.0,22134.0,19688.265
2014,8,4197.322580645161,67332.70967741935,142141.93548387097,245570.96774193548,26439.032258064515,22053.115
2014,7,4744.0,50446.51612903226,156625.8064516129,250245.16129032258,36327.74193548387,22147.04
2014,6,6647.6,30706.033333333333,159906.66666666666,245323.33333333334,47926.55172413793,20584.515
2014,5,6475.419354838709,18309.451612903227,150877.4193548387,237864.51612903227,54141.48148148148,19656.94
2014,4,4075.3333333333335,7051.9,139546.66666666666,229720.0,51779.333333333336,18507.885
2014,3,4551.225806451613,4913.741935483871,124448.3870967742,212077.4193548387,45359.032258064515,16929.03
2014,2,3770.964285714286,5849.714285714285,111903.57142857143,181835.7142857143,41326.07142857143,16446.105
2014,1,5796.903225806452,11219.483870967742,99401.29032258065,161422.5806451613,38608.3870967742,16013.205
